"RelativePath","FileName","Length","SHA256","Hash8","Managed","AssemblyName","Version","Error"
"DLLs\NEW\HRP_Spam_Patch.dll","HRP_Spam_Patch.dll","9728","B2F73069A704C1ACFE9D17595AF0FB54675B3518812643AB4AF73F5CEFE4AE00","B2F73069","True","HRP Spam Patch","1.0.0.0",""
"DLLs\NEW\InstantPickup.dll","InstantPickup.dll","13824","3668155D0B32BB3648D6E115E54DB8803DF1D86F0F6B7535704D0307BD93188A","3668155D","True","InstantPickup","1.0.0.0",""
"DLLs\NEW\LightDisabler.dll","LightDisabler.dll","5632","091466FF7FBA9BCA49448C21F20F15130DDC2F6363FC95050D4E9AEB7E450CC1","091466FF","True","LightDisabler","1.0.0.0",""
"DLLs\NEW\Lua14.dll","Lua14.dll","21504","6360ECF146D30191108B7C37E3277A3E1D2966F6F7A449F1B57BD84621434455","6360ECF1","True","Lua14","1.0.0.0",""
"DLLs\NEW\OpenHook-master\Dependencies\Robust.Client.dll","Robust.Client.dll","1826304","832891A14B5F94DDF9E031D0D4AFADEBBEEDFD9C3F78C6CE49413E77CD9CB81E","832891A1","True","Robust.Client","270.0.0.0",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Debug\net10.0\OpenHook.dll","OpenHook.dll","40448","6F610E6CCE72B8C108CDB2B7DB979D303133714D1385FDFC6E7B40AF492340D9","6F610E6C","True","OpenWare","1.0.0.0",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Debug\net10.0\Robust.Client.dll","Robust.Client.dll","1826304","832891A14B5F94DDF9E031D0D4AFADEBBEEDFD9C3F78C6CE49413E77CD9CB81E","832891A1","True","Robust.Client","270.0.0.0",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\OpenWare.dll","OpenWare.dll","84480","AFAF78C705D65E6DE84144C678024291DAD0CB5586EA32D58ECB7A75F12F51E5","AFAF78C7","True","OpenWare","1.0.0.0",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\publish\0Harmony.dll","0Harmony.dll","2330624","FD77B88724F4104440DF0CF979A851D35EEC75EA3A7E86297D04ABE47C71AFF6","FD77B887","True","0Harmony","2.4.2.0",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\publish\ImGui.NET.dll","ImGui.NET.dll","317440","1B519DBA38E8FF0AE85721086C0646C7589C7772B80BF2297A3E8EAD1F2A1C41","1B519DBA","True","ImGui.NET","1.91.6.1",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\publish\OpenToolkit.Core.dll","OpenToolkit.Core.dll","10752","7B65DB1B39590A383951DADE87F828E1AC5995A1AF381F6D43EA8E0F55F2CDB7","7B65DB1B","True","OpenToolkit.Core","4.0.0.0",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\publish\OpenToolkit.Graphics.dll","OpenToolkit.Graphics.dll","4456448","4D9487736590DA05815D51CB0FBFC1E5ABF640733CE2364411217328A4EC0B4A","4D948773","True","OpenToolkit.Graphics","4.0.0.0",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\publish\OpenToolkit.Mathematics.dll","OpenToolkit.Mathematics.dll","303616","F24D7A1B53B98AADEA0B16422535D72CC1D3239925704CDE0F1198A1CEBB8AC1","F24D7A1B","True","OpenToolkit.Mathematics","4.0.0.0",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\publish\OpenWare.dll","OpenWare.dll","84480","AFAF78C705D65E6DE84144C678024291DAD0CB5586EA32D58ECB7A75F12F51E5","AFAF78C7","True","OpenWare","1.0.0.0",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\publish\Robust.Client.dll","Robust.Client.dll","1826304","832891A14B5F94DDF9E031D0D4AFADEBBEEDFD9C3F78C6CE49413E77CD9CB81E","832891A1","True","Robust.Client","270.0.0.0",""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\publish\runtimes\win-arm64\native\cimgui.dll","cimgui.dll","1318912","0237A799B5B3A5A76995BD247870B412367C669D676B0D66B4AA40DB1431144E","0237A799","False","","","MethodInvocationException: Exception calling ""GetAssemblyName"" with ""1"" argument(s): ""PE image does not have metadata."""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\publish\runtimes\win-x64\native\cimgui.dll","cimgui.dll","1450496","60EC992BCEBD354D59F235ED97CDC3B0EEA62C2DEF53C4A71F22937E500FA80B","60EC992B","False","","","MethodInvocationException: Exception calling ""GetAssemblyName"" with ""1"" argument(s): ""PE image does not have metadata."""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\publish\runtimes\win-x86\native\cimgui.dll","cimgui.dll","1288704","320E13F5770A14B8EA9FC301024C07282E41875D8EFE88402B20AD405ECBB70F","320E13F5","False","","","MethodInvocationException: Exception calling ""GetAssemblyName"" with ""1"" argument(s): ""PE image does not have metadata."""
"DLLs\NEW\OpenHook-master\OpenHook\bin\Release\net10.0\Robust.Client.dll","Robust.Client.dll","1826304","832891A14B5F94DDF9E031D0D4AFADEBBEEDFD9C3F78C6CE49413E77CD9CB81E","832891A1","True","Robust.Client","270.0.0.0",""
